employee_id,genre,email,departement,ville,contrat,date_embauche,anciennete_annees,salaire_mensuel_brut,temps_partiel,taux_activite,age,tranche_age
2525,F,louis.daviddatascope.fr,Operations,Nice,CDD,2022-11-15,2.1,0.0,Non,100,10,Moins de 25 ans
2502,F,inès.leroy@datascope.fr,RH,Grenoble,CDI,2020-11-07,4.1,2326.0,Non,100,54,45-54 ans
2036,M,antoine.robert@datascope.fr,Informatique,Nice,CDI,2024-08-14,0.4,2888.0,Oui,80,49,45-54 ans
1450,M,marie.dubois@datascope.fr,Finance,Strasbourg,CDI,2020-05-28,4.6,3074.0,Non,100,47,45-54 ans
3362,M,léa.roux@datascope.fr,Marketing,Lyon,CDI,2023-10-29,1.2,3696.0,Oui,50,44,35-44 ans
2813,M,emma.thomas@datascope.fr,Finance,Bordeaux,Interim,2021-01-09,4.0,1775.0,Non,100,26,25-34 ans
2324,F,alice.lefebvre@datascope.fr,Commercial,Paris,CDI,2021-09-25,3.3,2169.0,Oui,50,40,35-44 ans
1544,F,théo.richard@datascope.fr,Direction,Grenoble,Stage,2021-07-14,3.5,900.0,Non,100,44,35-44 ans
3152,M,louis.lefebvre@datascope.fr,Informatique,Nantes,Stage,2017-02-24,7.8,900.0,Non,100,51,45-54 ans
2125,F,léa.garcia@datascope.fr,Marketing,Paris,CDI,2024-02-01,0.9,3856.0,Oui,50,39,35-44 ans
2134,F,chloé.david@datascope.fr,Direction,Marseille,CDI,2024-10-09,0.2,2993.0,Non,100,50,45-54 ans
1266,F,marie.laurent@datascope.fr,RH,Marseille,CDD,2016-09-11,8.3,2888.0,Oui,80,26,25-34 ans
1709,M,paul.david@datascope.fr,R&D,Marseille,Interim,2021-11-21,3.1,1585.0,Non,100,54,45-54 ans
2406,M,sarah.leroy@datascope.fr,Finance,Grenoble,Alternance,2021-09-03,3.3,1584.0,Oui,50,54,45-54 ans
1494,F,julie.richard@datascope.fr,Opérations,Grenoble,CDD,2019-05-31,5.6,2187.0,Non,100,58,55 ans et plus
1770,F,chloé.martin@datascope.fr,R&D,Lyon,CDD,2020-07-31,4.4,2747.0,Non,100,59,55 ans et plus
1256,M,inès.martin@datascope.fr,Logistique,Toulouse,CDI,2018-01-12,7.0,1998.0,Non,100,32,25-34 ans
1662,M,inès.michel@datascope.fr,Direction,Nice,CDI,2020-04-10,4.7,1295.0,Non,100,46,45-54 ans
1444,F,romain.thomas@datascope.fr,Commercial,Strasbourg,CDI,2022-09-15,2.3,2477.0,Non,100,33,25-34 ans
3024,F,thomas.durand@datascope.fr,RH,Strasbourg,CDI,2022-04-30,2.7,2296.0,Non,100,43,35-44 ans
2442,M,louis.vincent@datascope.fr,Logistique,Bordeaux,CDI,2020-06-02,4.6,3180.0,Oui,80,32,25-34 ans
1769,M,léa.laurent@datascope.fr,Opérations,Toulouse,CDI,2015-08-13,9.4,2682.0,Oui,80,57,55 ans et plus
2333,F,nicolas.roux@datascope.fr,Marketing,Marseille,CDD,2022-12-23,2.0,2228.0,Oui,50,54,45-54 ans
3065,M,lucas.bertrand@datascope.fr,RH,Paris,CDD,2015-12-04,9.1,2517.0,Oui,50,40,35-44 ans
2322,M,sophie.thomas@datascope.fr,RH,Nantes,CDD,2015-02-04,9.9,2812.0,Oui,50,29,25-34 ans
1959,F,hugo.thomas@datascope.fr,Commercial,Strasbourg,CDI,2020-05-22,4.6,2775.0,Oui,50,29,25-34 ans
2810,F,emma.lefebvre@datascope.fr,RH,Grenoble,CDI,2019-12-15,5.0,2590.0,Non,100,29,25-34 ans
1281,F,sophie.petit@datascope.fr,Direction,Grenoble,CDI,2015-02-15,9.9,1813.0,Non,100,36,35-44 ans
1710,F,pierre.dubois@datascope.fr,Opérations,Lyon,CDD,2022-04-11,2.7,2072.0,Oui,50,24,Moins de 25 ans
2617,M,chloé.bertrand@datascope.fr,Opérations,Grenoble,CDI,2016-01-29,8.9,3526.0,Oui,80,40,35-44 ans
1673,F,julie.david@datascope.fr,Direction,Paris,CDI,2016-02-27,8.8,1361.0,Non,100,46,45-54 ans
2404,F,marie.petit@datascope.fr,R&D,Toulouse,CDD,2023-06-06,1.6,1707.0,Non,100,30,25-34 ans
3204,F,sophie.lefebvre@datascope.fr,Direction,Strasbourg,CDI,2016-12-28,8.0,2574.0,Non,100,54,45-54 ans
1775,M,paul.robert@datascope.fr,R&D,Bordeaux,Stage,2023-08-31,1.3,900.0,Oui,50,24,Moins de 25 ans
