employee_id,nom,prenom,genre,date_naissance,email,departement,ville,contrat,date_embauche,anciennete_annees,salaire_mensuel_brut,manager_id,temps_partiel,taux_activite
2525,David,Louis,F,2014-08-31,louis.daviddatascope.fr,Operations,Nice,CDD,2022-11-15,2.1,0,2515,Non,100
2502,Leroy,Inès,F,1970-05-31,inès.leroy@datascope.fr,RH,Grenoble,CDI,2020-11-07,4.1,2326.0,2525,Non,100
2036,Robert,Antoine,M,1975-08-06,antoine.robert@datascope.fr,Informatique,Nice,CDI,2024-08-14,0.4,2888.0,1561,Non,80
1450,Dubois,Marie,M,1977-07-15,marie.dubois@datascope.fr,Finance,Strasbourg,CDI,2020-05-28,4.6,3074.0,2515,Non,100
3362,Roux,Léa,M,1980-06-23,léa.roux@datascope.fr,Marketing,Lyon,CDI,2023-10-29,1.2,3696.0,2630,Non,50
2813,Thomas,Emma,M,1998-10-28,emma.thomas@datascope.fr,Finance,Bordeaux,Interim,2021-01-09,4.0,1775.0,1194,Oui,100
2324,Lefebvre,Alice,F,1984-06-24,alice.lefebvre@datascope.fr,Commercial,Paris,CDI,2021-09-25,3.3,2169.0,1005,Oui,50
1544,Richard,Théo,F,1980-12-20,théo.richard@datascope.fr,Direction,Grenoble,Stage,2021-07-14,3.5,900,1845,Non,100
3152,Lefebvre,Louis,M,1973-07-05,louis.lefebvre@datascope.fr,Informatique,Nantes,Stage,2017-02-24,7.8,900,2245,Non,100
2125,Garcia,Léa,F,1985-07-16,léa.garcia@datascope.fr,Marketing,Paris,CDI,2024-02-01,0.9,3856.0,1875,Non,50
2134,David,Chloé,F,1974-11-19,chloé.david@datascope.fr,Direction,Marseille,CDI,2024-10-09,0.2,2993.0,1247,Non,100
1266,Laurent,Marie,F,1998-02-24,marie.laurent@datascope.fr,RH,Marseille,CDD,2016-09-11,8.3,2888.0,1401,Non,80
1709,David,Paul,M,1970-10-27,paul.david@datascope.fr,R&D,Marseille,Interim,2021-11-21,3.1,1585.0,1196,Non,100
2406,Leroy,Sarah,M,1970-11-25,sarah.leroy@datascope.fr,Finance,Grenoble,Alternance,2021-09-03,3.3,1584.0,3284,Non,50
1494,Richard,Julie,F,1966-06-09,julie.richard@datascope.fr,Opérations,Grenoble,CDD,2019-05-31,5.6,2187.0,1127,Non,100
1770,Martin,Chloé,F,1965-11-04,chloé.martin@datascope.fr,R&D,Lyon,CDD,2020-07-31,4.4,2747.0,3028,Non,100
1256,Martin,Inès,M,1992-05-03,inès.martin@datascope.fr,Logistique,Toulouse,CDI,2018-01-12,7.0,1998.0,2619,Oui,100
1662,Michel,Inès,M,1978-09-30,inès.michel@datascope.fr,Direction,Nice,CDI,2020-04-10,4.7,1295.0,3004,Non,100
1444,Thomas,Romain,F,1991-08-27,romain.thomas@datascope.fr,Commercial,Strasbourg,CDI,2022-09-15,2.3,2477.0,1880,Non,100
3024,Durand,Thomas,F,1981-04-02,thomas.durand@datascope.fr,RH,Strasbourg,CDI,2022-04-30,2.7,2296.0,2461,Non,100
2442,Vincent,Louis,M,1992-06-18,louis.vincent@datascope.fr,Logistique,Bordeaux,CDI,2020-06-02,4.6,3180.0,2630,Non,80
1769,Laurent,Léa,M,1967-12-27,léa.laurent@datascope.fr,Opérations,Toulouse,CDI,2015-08-13,9.4,2682.0,1195,Oui,80
